ID,الموضوع,المرسل,المستلم,النوع,الحالة,التاريخ,الأهمية
1,طلب صرف مكافآت شهرية لموظفي قسم تقنية المعلومات,دائرة الموارد البشرية,دائرة المالية,داخلي,قيد المعالجة,2026-02-01,هام
2,تحديث نظام البريد الداخلي وربطه مع الأرشيف الإلكتروني,مكتب المدير العام,قسم تقنية المعلومات,داخلي,مكتمل,2026-01-25,عاجل
3,طلب اعتماد عرض أسعار أجهزة حاسوب للمكاتب الفرعية,قسم المشتريات,دائرة المالية,خارجي,جديد,2026-02-10,هام
4,إشعار موعد اجتماع لجنة المشتريات لشهر شباط,الأمانة العامة,أعضاء لجنة المشتريات,بريد إلكتروني,مؤجل,2026-02-15,عادي
5,كتاب شكر وتقدير لموظفي قسم خدمة المواطنين,مكتب الوزير,قسم خدمة المواطنين,داخلي,مكتمل,2026-01-30,عادي
6,متابعة شكاوى المواطنين الواردة عبر البريد الإلكتروني,قسم خدمة المواطنين,مكتب المدير العام,بريد إلكتروني,قيد المعالجة,2026-02-12,هام
7,طلب صيانة أجهزة الطباعة في الطابق الثالث,قسم الخدمات,قسم الصيانة الفنية,داخلي,جديد,2026-02-08,عادي
8,إشعار استلام بريد صادر إلى وزارة التعليم العالي,شعبة الصادر والوارد,مكتب الوزير,خارجي,مكتمل,2026-02-05,هام
9,جدول اجتماعات لجنة الموارد البشرية للأسبوع القادم,دائرة الموارد البشرية,أعضاء لجنة الموارد البشرية,بريد إلكتروني,قيد المعالجة,2026-02-14,عادي
10,متابعة تنفيذ توصيات لجنة التدقيق الداخلي,وحدة التدقيق الداخلي,مكتب المدير العام,داخلي,قيد المعالجة,2026-02-09,هام
